workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
1,One,1,13044,0.45,0.1,discrete,arc,no,0.45,0.1,0,0,0,1,discretearc
1,One,2,21001,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
1,One,3,16546,0.2,0.1,discrete,arc,yes,0.2,0.1,0,0,0,1,vsupdiscretearc
1,One,7,5132,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
1,One,10,10032,0.95,0.1,discrete,arc,no,0.95,0.1,0,0,0,1,discretearc
1,One,8,7049,0.4,0.8,discrete,square,yes,0.4,0.8,0,0,0,1,vsupdiscretesquare
1,One,5,11663,0.7,0.4,discrete,arc,yes,0.7,0.4,0,0,0,1,vsupdiscretearc
1,One,12,13229,0.8,0.4,discrete,square,yes,0.8,0.4,0,0,0,1,vsupdiscretesquare
1,One,4,19600,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
1,One,13,5637,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
1,One,15,6340,0.8,0.6,discrete,square,yes,0.8,0.6,0,0,0,1,vsupdiscretesquare
2,One,1,15085,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
1,One,11,8105,0.3,0.6,discrete,square,yes,0.3,0.6,0,0,0,1,vsupdiscretesquare
1,One,16,7989,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
1,One,9,6087,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
2,One,5,22318,0.1,0.4,discrete,arc,no,0.1,0.4,0,0,0,1,discretearc
2,One,3,10554,0.8,0.4,discrete,square,yes,0.8,0.4,0,0,0,1,vsupdiscretesquare
1,One,14,6712,0.4,0.4,discrete,square,no,0.4,0.4,0,0,0,1,discretesquare
2,One,2,8700,0.45,0.1,discrete,arc,yes,0.45,0.1,0,0,0,1,vsupdiscretearc
2,One,7,26501,0.8,0.6,discrete,square,no,0.95,0.1,-0.15,0.5,0.35,0,discretesquare
2,One,10,9542,0.4,0.4,discrete,square,yes,0.4,0.4,0,0,0,1,vsupdiscretesquare
2,One,8,6610,0.2,0.1,discrete,square,no,0.2,0.1,0,0,0,1,discretesquare
2,One,12,8124,0.3,0.6,discrete,square,no,0.3,0.6,0,0,0,1,discretesquare
2,One,9,8383,0.45,0.1,discrete,square,yes,0.45,0.1,0,0,0,1,vsupdiscretesquare
2,One,6,9129,0.4,0.8,discrete,arc,yes,0.45,0.1,-0.05,0.7,0.65,0,vsupdiscretearc
2,One,11,11311,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
1,One,6,11366,0.3,0.6,discrete,square,no,0.3,0.6,0,0,0,1,discretesquare
3,One,1,20406,0.8,0.6,discrete,arc,no,0.8,0.6,0,0,0,1,discretearc
