workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
1,One,1,18089,0.7,0.1,continuous,juxtaposed,no,0.7,0.4,0,-0.3,-0.3,0,continuousjuxtaposed
1,One,2,11754,0.2,0.1,discrete,square,no,0.4,0.4,-0.2,-0.3,-0.5,0,discretesquare
1,One,3,8327,0.2,0.1,discrete,square,yes,0.7,0.4,-0.5,-0.3,-0.8,0,vsupdiscretesquare
1,One,4,10606,0.4,0.8,discrete,square,yes,0.3,0.6,0.1,0.2,0.3,0,vsupdiscretesquare
1,One,5,11135,0.3,0.6,continuous,square,no,0.7,0.4,-0.4,0.2,-0.2,0,continuoussquare
1,One,6,9698,0.8,0.4,continuous,square,no,0.8,0.4,0,0,0,1,continuoussquare
1,One,7,8776,0.4,0.8,discrete,arc,yes,0.7,0.1,-0.3,0.7,0.4,0,vsupdiscretearc
1,One,13,3146,0.45,0.1,discrete,arc,yes,0.4,0.4,0.05,-0.3,-0.25,0,vsupdiscretearc
1,One,10,3396,0.1,0.4,continuous,arc,no,0.7,0.4,-0.6,0,-0.6,0,continuousarc
1,One,11,1808,0.2,0.1,continuous,arc,no,0.45,0.1,-0.25,0,-0.25,0,continuousarc
1,One,9,2260,0.7,0.1,discrete,arc,no,0.1,0.4,0.6,-0.3,0.3,0,discretearc
1,One,17,1968,0.4,0.8,discrete,arc,no,0.7,0.1,-0.3,0.7,0.4,0,discretearc
1,One,8,4113,0.7,0.4,discrete,square,no,0.2,0.1,0.5,0.3,0.8,0,discretesquare
1,One,19,2661,0.7,0.1,discrete,square,yes,0.1,0.4,0.6,-0.3,0.3,0,vsupdiscretesquare
1,One,18,4142,0.95,0.1,discrete,juxtaposed,no,0.3,0.6,0.65,-0.5,0.15,0,discretejuxtaposed
1,One,12,2803,0.7,0.1,discrete,square,no,0.3,0.6,0.4,-0.5,-0.1,0,discretesquare
1,One,21,1765,0.4,0.4,discrete,square,no,0.7,0.4,-0.3,0,-0.3,0,discretesquare
1,One,20,1999,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
1,One,15,2324,0.7,0.1,discrete,square,yes,0.95,0.1,-0.25,0,-0.25,0,vsupdiscretesquare
1,One,16,3502,0.1,0.4,discrete,juxtaposed,no,0.4,0.8,-0.3,-0.4,-0.7,0,discretejuxtaposed
1,One,26,1837,0.3,0.6,discrete,arc,yes,0.8,0.6,-0.5,0,-0.5,0,vsupdiscretearc
1,One,25,4033,0.45,0.1,discrete,square,no,0.3,0.6,0.15,-0.5,-0.35,0,discretesquare
1,One,28,3451,0.2,0.1,discrete,juxtaposed,no,0.7,0.1,-0.5,0,-0.5,0,discretejuxtaposed
1,One,27,2138,0.95,0.1,continuous,square,no,0.8,0.6,0.15,-0.5,-0.35,0,continuoussquare
1,One,23,2495,0.2,0.1,continuous,square,no,0.1,0.4,0.1,-0.3,-0.2,0,continuoussquare
1,One,14,21411,0.8,0.6,continuous,juxtaposed,no,0.8,0.6,0,0,0,1,continuousjuxtaposed
1,One,29,1842,0.1,0.4,discrete,square,yes,0.95,0.1,-0.85,0.3,-0.55,0,vsupdiscretesquare
1,One,30,1708,0.8,0.6,continuous,arc,no,0.8,0.6,0,0,0,1,continuousarc
1,One,24,1614,0.45,0.1,continuous,arc,no,0.2,0.1,0.25,0,0.25,0,continuousarc
1,One,22,168,0.4,0.4,continuous,arc,no,0.8,0.4,-0.4,0,-0.4,0,continuousarc
1,One,32,2142,0.2,0.1,continuous,juxtaposed,no,0.45,0.1,-0.25,0,-0.25,0,continuousjuxtaposed
1,One,31,2055,0.3,0.6,discrete,arc,no,0.1,0.4,0.2,0.2,0.4,0,discretearc
1,One,38,2541,0.1,0.4,continuous,arc,no,0.95,0.1,-0.85,0.3,-0.55,0,continuousarc
1,One,35,1980,0.1,0.4,discrete,square,yes,0.4,0.8,-0.3,-0.4,-0.7,0,vsupdiscretesquare
1,One,40,2483,0.1,0.4,discrete,juxtaposed,no,0.7,0.4,-0.6,0,-0.6,0,discretejuxtaposed
1,One,36,2461,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
1,One,33,2247,0.8,0.4,discrete,square,no,0.8,0.6,0,-0.2,-0.2,0,discretesquare
1,One,34,2154,0.8,0.6,continuous,arc,no,0.4,0.8,0.4,-0.2,0.2,0,continuousarc
1,One,42,2767,0.8,0.4,discrete,arc,no,0.45,0.1,0.35,0.3,0.65,0,discretearc
1,One,45,1957,0.45,0.1,discrete,juxtaposed,no,0.45,0.1,0,0,0,1,discretejuxtaposed
1,One,44,2044,0.95,0.1,discrete,square,yes,0.7,0.1,0.25,0,0.25,0,vsupdiscretesquare
1,One,43,3450,0.4,0.4,discrete,juxtaposed,no,0.1,0.4,0.3,0,0.3,0,discretejuxtaposed
1,One,47,1978,0.4,0.8,discrete,arc,yes,0.8,0.4,-0.4,0.4,0,1,vsupdiscretearc
1,One,48,2405,0.4,0.4,continuous,square,no,0.3,0.6,0.1,-0.2,-0.1,0,continuoussquare
1,One,49,2009,0.4,0.8,discrete,square,no,0.8,0.6,-0.4,0.2,-0.2,0,discretesquare
1,One,50,1599,0.4,0.4,discrete,arc,yes,0.8,0.4,-0.4,0,-0.4,0,vsupdiscretearc
1,One,41,2574,0.1,0.4,discrete,arc,yes,0.4,0.8,-0.3,-0.4,-0.7,0,vsupdiscretearc
1,One,53,2269,0.45,0.1,discrete,juxtaposed,no,0.4,0.8,0.05,-0.7,-0.65,0,discretejuxtaposed
1,One,46,1784,0.3,0.6,continuous,square,no,0.4,0.8,-0.1,-0.2,-0.3,0,continuoussquare
1,One,51,1583,0.7,0.4,continuous,square,no,0.8,0.6,-0.1,-0.2,-0.3,0,continuoussquare
1,One,52,2006,0.95,0.1,continuous,juxtaposed,no,0.8,0.6,0.15,-0.5,-0.35,0,continuousjuxtaposed
1,One,55,2321,0.3,0.6,continuous,juxtaposed,no,0.4,0.4,-0.1,0.2,0.1,0,continuousjuxtaposed
1,One,58,2907,0.4,0.8,discrete,arc,yes,0.8,0.6,-0.4,0.2,-0.2,0,vsupdiscretearc
1,One,54,1239,0.7,0.4,continuous,juxtaposed,no,0.95,0.1,-0.25,0.3,0.05,0,continuousjuxtaposed
1,One,56,1511,0.3,0.6,discrete,arc,yes,0.45,0.1,-0.15,0.5,0.35,0,vsupdiscretearc
1,One,57,1822,0.95,0.1,continuous,juxtaposed,no,0.8,0.6,0.15,-0.5,-0.35,0,continuousjuxtaposed
1,One,39,1566,0.4,0.4,continuous,square,no,0.8,0.4,-0.4,0,-0.4,0,continuoussquare
1,One,60,1425,0.7,0.4,continuous,juxtaposed,no,0.95,0.1,-0.25,0.3,0.05,0,continuousjuxtaposed
1,One,59,2405,0.7,0.1,discrete,arc,no,0.3,0.6,0.4,-0.5,-0.1,0,discretearc
2,One,1,136662,0.8,0.6,continuous,juxtaposed,no,0.8,0.6,0,0,0,1,continuousjuxtaposed
1,One,37,3675,0.8,0.4,discrete,juxtaposed,no,0.7,0.1,0.1,0.3,0.4,0,discretejuxtaposed
1,One,62,1376,0.95,0.1,discrete,arc,no,0.4,0.4,0.55,-0.3,0.25,0,discretearc
1,One,64,1199,0.8,0.6,continuous,arc,no,0.95,0.1,-0.15,0.5,0.35,0,continuousarc
2,One,5,94680,0.1,0.4,continuous,arc,no,0.1,0.4,0,0,0,1,continuousarc
1,One,63,2671,0.95,0.1,discrete,square,no,0.8,0.6,0.15,-0.5,-0.35,0,discretesquare
2,One,6,35483,0.7,0.4,discrete,square,yes,0.8,0.4,-0.1,0,-0.1,0,vsupdiscretesquare
2,One,8,33983,0.2,0.1,continuous,square,no,0.2,0.1,0,0,0,1,continuoussquare
2,One,9,22152,0.8,0.6,discrete,juxtaposed,no,0.8,0.6,0,0,0,1,discretejuxtaposed
2,One,3,34625,0.7,0.4,discrete,juxtaposed,no,0.7,0.4,0,0,0,1,discretejuxtaposed
1,One,61,1991,0.4,0.8,discrete,square,yes,0.4,0.4,0,0.4,0.4,0,vsupdiscretesquare
2,One,12,38546,0.95,0.1,continuous,arc,no,0.4,0.4,0.55,-0.3,0.25,0,continuousarc
2,One,7,21510,0.45,0.1,discrete,arc,yes,0.4,0.8,0.05,-0.7,-0.65,0,vsupdiscretearc
2,One,4,23623,0.95,0.1,discrete,arc,yes,0.95,0.1,0,0,0,1,vsupdiscretearc
2,One,13,29843,0.7,0.4,discrete,square,no,0.7,0.1,0,0.3,0.3,0,discretesquare
2,One,10,24798,0.8,0.4,discrete,arc,no,0.8,0.6,0,-0.2,-0.2,0,discretearc
2,One,11,25636,0.1,0.4,continuous,juxtaposed,no,0.1,0.4,0,0,0,1,continuousjuxtaposed
2,One,18,21708,0.1,0.4,discrete,arc,no,0.1,0.4,0,0,0,1,discretearc
2,One,17,20135,0.45,0.1,continuous,square,no,0.3,0.6,0.15,-0.5,-0.35,0,continuoussquare
2,One,19,20703,0.95,0.1,continuous,juxtaposed,no,0.95,0.1,0,0,0,1,continuousjuxtaposed
2,One,14,24308,0.45,0.1,discrete,juxtaposed,no,0.45,0.1,0,0,0,1,discretejuxtaposed
2,One,21,26160,0.7,0.4,continuous,juxtaposed,no,0.8,0.4,-0.1,0,-0.1,0,continuousjuxtaposed
2,One,16,26391,0.45,0.1,continuous,square,no,0.4,0.8,0.05,-0.7,-0.65,0,continuoussquare
2,One,24,20296,0.7,0.1,discrete,arc,yes,0.8,0.6,-0.1,-0.5,-0.6,0,vsupdiscretearc
2,One,23,47435,0.2,0.1,continuous,square,no,0.3,0.6,-0.1,-0.5,-0.6,0,continuoussquare
2,One,2,33276,0.1,0.4,continuous,juxtaposed,no,0.1,0.4,0,0,0,1,continuousjuxtaposed
2,One,22,21718,0.2,0.1,discrete,arc,yes,0.2,0.1,0,0,0,1,vsupdiscretearc
2,One,27,40319,0.2,0.1,discrete,juxtaposed,no,0.2,0.1,0,0,0,1,discretejuxtaposed
2,One,29,14300,0.45,0.1,discrete,arc,no,0.4,0.8,0.05,-0.7,-0.65,0,discretearc
2,One,30,24796,0.2,0.1,discrete,square,yes,0.2,0.1,0,0,0,1,vsupdiscretesquare
2,One,26,16737,0.45,0.1,discrete,square,no,0.4,0.8,0.05,-0.7,-0.65,0,discretesquare
2,One,28,23480,0.3,0.6,continuous,juxtaposed,no,0.3,0.6,0,0,0,1,continuousjuxtaposed
2,One,32,11586,0.45,0.1,continuous,square,no,0.4,0.4,0.05,-0.3,-0.25,0,continuoussquare
2,One,20,17056,0.2,0.1,discrete,juxtaposed,no,0.2,0.1,0,0,0,1,discretejuxtaposed
2,One,31,14431,0.95,0.1,continuous,arc,no,0.8,0.4,0.15,-0.3,-0.15,0,continuousarc
2,One,34,14235,0.4,0.8,continuous,juxtaposed,no,0.4,0.8,0,0,0,1,continuousjuxtaposed
2,One,37,12084,0.95,0.1,discrete,arc,no,0.8,0.4,0.15,-0.3,-0.15,0,discretearc
2,One,36,10566,0.95,0.1,discrete,square,no,0.8,0.6,0.15,-0.5,-0.35,0,discretesquare
2,One,15,51903,0.4,0.4,continuous,arc,no,0.4,0.8,0,-0.4,-0.4,0,continuousarc
