WorkerId,Experiment,Education,Gender,GraphFamiliarity,Age,risk1,risk2,risk3,risk4,risk5,risk6,riskAversion
1,Exp1,College degree,Male,2,22,2,4,4,3,-5,2,10
2,Exp1,College degree,Male,2,41,2,5,5,4,-6,3,13
3,Exp1,College degree,Male,2,36,-2,6,6,5,6,5,26
4,Exp1,High school degree,Female,0,41,5,6,5,7,-6,4,21
5,Exp1,Graduate degree,Female,3,28,-6,2,3,2,2,2,5
6,Exp1,College degree,Male,2,25,-7,1,1,4,4,1,4
7,Exp1,College degree,Female,4,29,-4,7,6,7,7,5,28
8,Exp1,College degree,Male,2,55,-3,5,6,6,5,5,24
9,Exp1,College degree,Female,2,29,-4,5,5,5,5,5,21
10,Exp1,College degree,Female,1,29,-1,7,6,6,7,6,31
11,Exp1,College degree,Female,1,29,-6,2,2,4,2,2,6
12,Exp1,High school degree,Male,0,22,2,2,2,2,-6,2,4
13,Exp1,College degree,Male,2,37,2,3,4,3,-5,2,9
14,Exp1,College degree,Female,2,23,4,5,5,4,-2,6,22
15,Exp1,College degree,Male,2,31,-4,4,5,6,6,3,20
16,Exp1,College degree,Female,0,24,2,2,3,4,-6,3,8
17,Exp1,Some college,Male,0,26,5,6,6,5,-3,5,24
18,Exp1,Some college,Male,3,26,3,5,5,3,-5,4,15
19,Exp1,High school degree,Male,1,42,-4,7,6,6,7,6,28
20,Exp1,Some college,Female,2,34,-4,5,7,5,6,5,24
21,Exp1,College degree,Male,3,32,5,6,6,5,-4,4,22
22,Exp1,College degree,Female,2,33,-5,5,4,5,5,5,19
23,Exp1,Some college,Female,2,38,-4,7,7,7,7,7,31
24,Exp1,Some college,Female,2,26,-7,6,3,5,6,4,17
