workerId,task,index,rt,v,u,type,ramp,size,qShort,vError,uError,error
0,One,1,2907,0,1,vsup,Lightness,4,1uav,0,0,0
0,One,2,4546,1,1,2D,Lightness,8,1uav,0,0,0
0,One,3,2095,0,1,vsup,Lightness,4,0u0v,0,1,1
0,One,4,2776,0.5159096015606,1,2D,Lightness,8,0u0v,0.5159096015606,1,1.5159096015606
0,One,5,7941,0.70342552056381,0.60449360017626,juxta,Lightness,4,1uav,0,0.39550639982374,0.39550639982374
0,One,6,2261,0,1,vsup,Lightness,8,1uav,0,0,0
0,One,7,5631,0.74324454365847,0.56986441666011,juxta,Lightness,8,0u1v,0.25675545634153,0.56986441666011,0.82661987300163
0,One,8,3962,0.65878415249948,0.50097053346275,juxta,Lightness,4,0u0v,0.65878415249948,0.50097053346275,1.1597546859622
0,One,9,1164,0.59854148577257,1,vsup,Lightness,4,0u1v,0.40145851422743,1,1.4014585142274
0,One,10,1417,0,1,vsup,Lightness,8,0u0v,0,1,1
0,One,11,1921,0.80339893815049,0.44868210609128,juxta,Lightness,8,0u0v,0.80339893815049,0.44868210609128,1.2520810442418
0,One,12,2027,0.6782924712511,0.60308019140279,juxta,Lightness,8,1uav,0,0.39691980859721,0.39691980859721
0,One,13,1750,1,1,vsup,Lightness,8,0u1v,0,1,1
0,One,14,2557,1,1,2D,Lightness,4,0u0v,1,1,2
0,One,17,1471,0.44301648334581,1,2D,Lightness,4,0u1v,0.55698351665419,1,1.5569835166542
0,One,15,1717,0.5429053395759,1,2D,Lightness,4,1uav,0,0,0
0,One,16,2944,0.61271356704144,1,2D,Lightness,8,0u1v,0.38728643295856,1,1.3872864329586
1,One,2,6711,0,0,2D,Lightness,8,0u0v,0,0,0
1,One,3,6314,1,1,2D,Lightness,8,1uav,0,0,0
0,One,18,9843,0.78211057864623,0.62446906984621,juxta,Lightness,4,0u1v,0.21788942135377,0.62446906984621,0.84235849119999
1,One,1,25472,0,0,vsup,Lightness,4,0u0v,0,0,0
1,One,5,6137,1,1,2D,Lightness,4,1uav,0,0,0
1,One,6,16838,0,0.46197100824724,vsup,Lightness,8,0u0v,0,0.46197100824724,0.46197100824724
1,One,4,5281,1,0,vsup,Lightness,4,0u1v,0,0,0
1,One,7,12981,0,0,2D,Lightness,8,0u1v,1,0,1
1,One,8,20844,1,0,juxta,Lightness,8,0u1v,0,0,0
1,One,9,7842,0,1,vsup,Lightness,8,1uav,0,0,0
1,One,11,23415,0.91250842686879,0.37791663732653,vsup,Lightness,8,0u1v,0.087491573131214,0.37791663732653,0.46540821045775
1,One,13,8109,1,1,2D,Lightness,4,0u1v,0,1,1
1,One,10,11971,0,0,juxta,Lightness,8,0u0v,0,0,0
1,One,15,6414,0,1,juxta,Lightness,4,0u0v,0,1,1
1,One,14,8678,0.85650545685561,0.50957329461445,2D,Lightness,4,0u0v,0.85650545685561,0.50957329461445,1.3660787514701
1,One,16,4483,1,1,vsup,Lightness,4,1uav,0,0,0
1,One,17,5557,1,0,juxta,Lightness,4,0u1v,0,0,0
1,One,18,9869,0.36431250168768,1,juxta,Lightness,8,1uav,0,0,0
2,One,1,22564,1,1,2D,Lightness,8,1uav,0,0,0
2,One,2,11549,1,0,2D,Lightness,8,0u0v,1,0,1
2,One,3,8446,1,0,2D,Lightness,8,0u1v,0,0,0
2,One,4,7283,1,1,2D,Lightness,4,1uav,0,0,0
2,One,5,7863,0.34007024039189,1,vsup,Lightness,8,1uav,0,0,0
2,One,6,7814,0.57357232623469,1,juxta,Lightness,4,1uav,0,0,0
2,One,7,14261,0,0,juxta,Lightness,4,0u0v,0,0,0
2,One,11,15841,0,1,vsup,Lightness,4,0u1v,1,1,2
2,One,12,22173,1,0,juxta,Lightness,8,0u1v,0,0,0
2,One,9,15728,0.52551375951111,1,vsup,Lightness,4,1uav,0,0,0
2,One,10,19880,0.59994469536794,0.11709328273122,juxta,Lightness,8,0u0v,0.59994469536794,0.11709328273122,0.71703797809916
2,One,13,9451,0,1,juxta,Lightness,8,1uav,0,0,0
2,One,8,8333,1,0,juxta,Lightness,4,0u1v,0,0,0
2,One,14,12938,0.86034472929275,0.46755826033165,vsup,Lightness,8,0u1v,0.13965527070725,0.46755826033165,0.6072135310389
2,One,15,21694,1,1,2D,Lightness,4,0u1v,0,1,1
2,One,17,7360,0,0,vsup,Lightness,4,0u0v,0,0,0
3,One,1,82348,0.53242480713569,1,vsup,Lightness,8,0u0v,0.53242480713569,1,1.5324248071357
2,One,18,5619,0,0,2D,Lightness,4,0u0v,0,0,0
2,One,16,6060,0,0,vsup,Lightness,8,0u0v,0,0,0
3,One,3,13640,1,1,juxta,Lightness,4,0u1v,0,1,1
3,One,4,13497,0,0,2D,Lightness,8,0u0v,0,0,0
3,One,5,5371,1,1,2D,Lightness,4,1uav,0,0,0
3,One,2,10755,1,1,2D,Lightness,4,0u0v,1,1,2
3,One,6,3719,0.64592458991307,1,vsup,Lightness,8,1uav,0,0,0
3,One,7,7213,0,0,vsup,Lightness,4,0u0v,0,0,0
3,One,8,5652,1,0,2D,Lightness,4,0u1v,0,0,0
3,One,10,11094,0,0,vsup,Lightness,8,0u0v,0,0,0
3,One,9,18709,0.44326629402532,0.21278346545536,juxta,Lightness,4,0u1v,0.55673370597468,0.21278346545536,0.76951717143005
3,One,11,7447,0,0,vsup,Lightness,4,0u0v,0,0,0
3,One,12,3642,0,0,2D,Lightness,8,0u0v,0,0,0
3,One,14,3961,1,1,2D,Lightness,8,1uav,0,0,0
3,One,15,6729,1,1,vsup,Lightness,8,1uav,0,0,0
3,One,13,5017,0,1,juxta,Lightness,4,1uav,0,0,0
3,One,16,4871,1,0,vsup,Lightness,4,0u1v,0,0,0
3,One,17,13455,0,0,juxta,Lightness,8,0u0v,0,0,0
3,One,18,15690,1,0,juxta,Lightness,8,0u1v,0,0,0
4,One,2,24769,0,0,vsup,Lightness,4,0u0v,0,0,0
4,One,1,22930,0.98237901805276,0.37950618863152,juxta,Lightness,4,0u1v,0.017620981947245,0.37950618863152,0.39712717057877
4,One,4,8035,1,0,2D,Lightness,8,0u1v,0,0,0
4,One,3,16516,0,0,2D,Lightness,8,0u0v,0,0,0
4,One,5,16889,0,0,vsup,Lightness,8,0u0v,0,0,0
4,One,6,6701,0.36579169043022,1,vsup,Lightness,4,1uav,0,0,0
4,One,7,45813,1,0,vsup,Lightness,8,0u1v,0,0,0
4,One,8,18010,0,0,2D,Lightness,4,0u0v,0,0,0
